id,caption,mic4,foa,meta
108945,"In the near front of a small acoustically dampened room, an audience applauds while a man yells and a group sings.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\108945\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\108945\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\108945\meta.yml
107898,"In a large, acoustically dampened room, a man's voice accompanies sporadic keyboard taps coming from the far right.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107898\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107898\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107898\meta.yml
107893,"In the near end of a large room, you hear motor noise followed by a honk and a wailing siren.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107893\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107893\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107893\meta.yml
107897,The sound of an airplane engine running is coming from the back of a large room.,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107897\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107897\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107897\meta.yml
107895,"A machine emits continuous beeping from the distant front of a large, acoustically dampened room.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107895\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107895\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107895\meta.yml
109315,"From the far right of a large, echo-filled room, you hear the sound of wind blowing followed by a zoom.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\109315\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\109315\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\109315\meta.yml
99850,"To the far left of a large acoustically dampened room, an infant is crying while a woman laughs.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\99850\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\99850\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\99850\meta.yml
102364,"From the back of the large room, you hear leaves rustling, a small bell chiming, and birds chirping in the background.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\102364\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\102364\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\102364\meta.yml
97151,"The sound of rustling, ducks quacking, water splashing, and an adult male and female speaking with duck calls being blown is coming from near the front of a large room.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\97151\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\97151\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\97151\meta.yml
108945,"In a small room, near the front, an audience is clapping while a man yells and a group sings.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\108945\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\108945\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\108945\meta.yml
107898,"The sound of a man speaking, interspersed with keyboard tapping, is coming from the far right side of a large room.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107898\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107898\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107898\meta.yml
107893,"The sound of a motor, a honking horn, and a wailing siren is coming from a corner of the large room.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107893\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107893\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107893\meta.yml
107897,"The sound of an airplane engine running is emanating from the near right side of a large, acoustically dampened room.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107897\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107897\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107897\meta.yml
107895,A continuous beeping sound is coming from a machine located in the far right corner of a large room.,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107895\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107895\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107895\meta.yml
109315,A sound of wind blowing followed by a zooming noise is emanating from the far left corner of a small acoustically dampened room.,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\109315\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\109315\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\109315\meta.yml
99850,The sound of an infant crying accompanied by a woman's laughter is coming from the far left of a large room.,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\99850\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\99850\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\99850\meta.yml
102364,"In a large acoustically dampened room, the sound of leaves rustling, followed by a small bell chiming and birds chirping, is emanating from the right.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\102364\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\102364\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\102364\meta.yml
